"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","De cura sterilitatis mulierum and De infirmitatis","10a 135","Latin","Mid-(?) 14th century","1325-1375","Italy","14th century;Italy;Science -- Medicine;Diagrams;Gothic","http://openn.library.upenn.edu/Data/0027/cpp_10a_135/data/web/6025_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0027/html/cpp_10a_135.html">http://openn.library.upenn.edu/Data/0027/html/cpp_10a_135.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0027/cpp_10a_135/data/">http://openn.library.upenn.edu/Data/0027/cpp_10a_135/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_135/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_135/index.html#page/1/mode/2up</a>,"","This manuscript contains De cura sterilitatis mulierum and De infirmitatis, including diagrams of instruments for the treatment of eye conditions, such as cataracts, tumors, and lacrimal fistula.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/cpp_10a_135/cpp_10a_135.html">http://138.197.87.173/bibliophilly/collation/cpp_10a_135/cpp_10a_135.html</a>,"Online? Yes",""
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","De semine et sanguine menstruo","10a 154","Latin","Fourth quarter 16th century, 1581 or later","1581-1600","Italy?","Treatise;16th century;Italy;Italian;Binding;Paper;Science;Science -- Medicine","http://openn.library.upenn.edu/Data/0027/cpp_10a_154/data/web/5796_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0027/html/cpp_10a_154.html">http://openn.library.upenn.edu/Data/0027/html/cpp_10a_154.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0027/cpp_10a_154/data/">http://openn.library.upenn.edu/Data/0027/cpp_10a_154/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_154/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_154/index.html#page/1/mode/2up</a>,"","This manuscript was written in the late sixteenth century and contains eight separate texts, including several by Bottoni and several by Mercuriale.",Collation View: <a href=""/>,"Online? Yes",""
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","De regimine regum et principum","10a 212","Latin","Early 14th century","1300-1350","Lombardy?, Italy","Treatise;14th century;Italian;Italy;Historiated initial;Puzzle initial;Manicules","http://openn.library.upenn.edu/Data/0027/cpp_10a_212/data/web/5498_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0027/html/cpp_10a_212.html">http://openn.library.upenn.edu/Data/0027/html/cpp_10a_212.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0027/cpp_10a_212/data/">http://openn.library.upenn.edu/Data/0027/cpp_10a_212/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_212/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/cpp_10a_212/index.html#page/1/mode/2up</a>,"","This manuscript is an early fourteenth-century copy of a treatise on kingly conduct written in the thirteenth century by Giles of Rome for Prince Philip, later Philip IV of France. The manuscript is divided into three books: the first on the individual conduct of the king, the second on personal relationships with family and household, and the third on the state. Each of the three books is subdivided into three parts, each with its own chapter list. This manuscript was written in northern Italy, perhaps Lombardy, on parchment in rotunda script. Aside from three historiated initials (fols. 1a recto, 89r, 227v), each part's chapter list begins with a puzzle initial in red and blue and each part's text begins with a multicolored decorated initial.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/cpp_10a_212/cpp_10a_212.html">http://138.197.87.173/bibliophilly/collation/cpp_10a_212/cpp_10a_212.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Ars Poetica and Epistulae","Horace MS 1a","Latin","Fourth quarter 15th century","1475-1499","Austria? Hungary?","15th century;Austria;Manicules;Literature -- Poetry","http://openn.library.upenn.edu/Data/0023/horace_ms_1a/data/web/5915_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/horace_ms_1a.html">http://openn.library.upenn.edu/Data/0023/html/horace_ms_1a.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/horace_ms_1a/data/">http://openn.library.upenn.edu/Data/0023/horace_ms_1a/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/horace_ms_1a/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/horace_ms_1a/index.html#page/1/mode/2up</a>,"","This manuscript, the first of two volumes, contains the Ars Poetica and Epistulae by Horace. It was written in Austria or Hungary in the fourth quarter of the 15th century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/horace_ms_1a/horace_ms_1a.html">http://138.197.87.173/bibliophilly/collation/horace_ms_1a/horace_ms_1a.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Laelius de Amicitia","Horace MS 1b","Latin","Fourth quarter 15th century","1475-1499","Austria? Hungary?","15th century;Austria;Manicules;Treatise;Friendship book","http://openn.library.upenn.edu/Data/0023/horace_ms_1b/data/web/5914_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/horace_ms_1b.html">http://openn.library.upenn.edu/Data/0023/html/horace_ms_1b.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/horace_ms_1b/data/">http://openn.library.upenn.edu/Data/0023/horace_ms_1b/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/horace_ms_1b/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/horace_ms_1b/index.html#page/1/mode/2up</a>,"","This manuscript, the second of two volumes, contains Cicero's Laelius de Amicitia. It was written in Austria or Hungary in the fourth quarter of the 15th century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/horace_ms_1b/horace_ms_1b.html">http://138.197.87.173/bibliophilly/collation/horace_ms_1b/horace_ms_1b.html</a>,"Online? Yes",""
"Library Company","Hamilton Book of Hours, Use of Thérouanne","24","Latin; French, Middle (ca.1400-1600)","Calendar includes numerous saints venerated in Thérouanne, Saint-Omer, and the surrounding region: Saint Sylvin of Thérouanne (16 February, fol. 2v), Saint Humfridus (8 March, fol. 3r), Saint Bertinus of Saint-Omer (5 September, fol. 9r), Saint Omer (9 September, fol. 9r), Saint Wulfran of Abbeville (16 October, fol. 10v), Saint Winnoc of Berghes (6 November, fol. 11r), Saint Maxim of Wismes (13 September, fol. 9r and 4 December, fol. 12r); Hours of the Virgin of the Use of Thérouanne; first quarter 16th century","1500-1525","Northern France","16th century;France;Book of Hours;Devotion;Illumination;Illustration","http://openn.library.upenn.edu/Data//lcp_ms024/data/web/6022_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/lcp_ms024.html">http://openn.library.upenn.edu/Data//html/lcp_ms024.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//lcp_ms024/data/">http://openn.library.upenn.edu/Data//lcp_ms024/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lcp_ms024/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lcp_ms024/index.html#page/1/mode/2up</a>,"","This Book of Hours was produced in Northern France in the first quarter of the sixteenth century. The calendar contains numerous saints venerated in the region of Thérouanne (See Origin details), and the Hours of the Virgin is of the Use of Thérouanne. The book is embellished with ten full-page miniatures surrounded by illusionistic panel borders, twelve foliate borders, and twenty smaller miniatures with single-side panel borders accompanying the Gospel Lessons, a prayer for the buried, and the Suffrages. Several pages with miniatures have been removed (see Foliation/Pagination). The miniatures and illusionistic borders are in a regional Northern French style derived from the so-called Bruges-Ghent school of illumination, while the majority of the foliate borders introducing the texts are in a more traditional French style. Several of the miniatures, border details, and inscriptions are derived from images in printed Books of Hours designed by the Master of the Très Petites Heures of Anne of Brittany. The original owner of the book has not been precisely identified, though he is depicted in prayer before an image of the Trinity on fol. 128v, and his unidentified coat-of-arms is reproduced three times (1 and 4, argent a lion sable armed and langued gules; 2 and 3, or an anchored and belted cross gules party per pale argent three fleurs-de-lys sable; fols. 29r, 51r, and 128v). A motto, Il n'est que d'estre, is also present on fols. 40r, 51r, and 128v. The calendar and rubrics are in French. The book was in the possession of the Philadelphia collector William Hamilton as early as 1768.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lcp_ms024/lcp_ms024.html">http://138.197.87.173/bibliophilly/collation/lcp_ms024/lcp_ms024.html</a>,"Online? Yes",""
"Library Company","Regulae ordinis fratrum minorum Franciscani etc.","14","Latin; Italian","Circa 1600","1600","Italy","17th century;Italy;Illustration;Christian;16th century","http://openn.library.upenn.edu/Data//lcp_ms14/data/web/6001_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/lcp_ms14.html">http://openn.library.upenn.edu/Data//html/lcp_ms14.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//lcp_ms14/data/">http://openn.library.upenn.edu/Data//lcp_ms14/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lcp_ms14/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lcp_ms14/index.html#page/1/mode/2up</a>,"","This manuscript is a late sixteenth- or early seventeenth-century collection of Franciscan texts, including the Franciscan rule in twelve chapters as it appeared in the papal bull Solet annuere issued by Honorius III; the testament of Saint Francis of Assisi in Italian; and lists of precepts in Italian drawn from the rule.  The erased text on the first leaf (fol. 1r) is from the third chapter of the rule, almost the same as a leaf of text within the manuscript (fol. 3r) but with slightly different line breaks.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lcp_ms14/lcp_ms14.html">http://138.197.87.173/bibliophilly/collation/lcp_ms14/lcp_ms14.html</a>,"Online? Yes",""
"Library Company","S. John Chrysostom: Homilies","1","Greek, Ancient (to 1453)","Manuscript's content, script, and decoration link it to other Chrysostom manuscripts from early tenth-century Constantinople (N. Kavrus-Hoffmann); first quarter 10th century (N. Kavrus-Hoffmann)","0900-0925","Constantinople","Commentary;Collection of Sermons;10th century;Greece;Theology","http://openn.library.upenn.edu/Data//lcp_ms1/data/web/5900_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/lcp_ms1.html">http://openn.library.upenn.edu/Data//html/lcp_ms1.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//lcp_ms1/data/">http://openn.library.upenn.edu/Data//lcp_ms1/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lcp_ms1/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lcp_ms1/index.html#page/1/mode/2up</a>,"","This Greek manuscript of Saint John Chrysostom's homilies on Paul's Letter to the Ephesians and commentary on the Letter to Galatians was written in the first quarter of the tenth century, probably in Constantinople. The first four homilies on Ephesians are missing leaves; homilies 5-24 on Ephesians are complete; and the commentary on Galatians is missing leaves at the end. The beginning of each homily is marked with a simple decorated division bar and initial.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lcp_ms1/lcp_ms1.html">http://138.197.87.173/bibliophilly/collation/lcp_ms1/lcp_ms1.html</a>,"Online? Yes",""
"Library Company","Gallican Psalter with Canticles, Litany, and Prayers","8","Latin","First quarter of the fourteenth century","1300-1325","Northeastern France","Prayer;Psalter;14th century;Christian;France;Inhabited initial;Historiated initial;Notable binding;Biblical;Liturgy;Theology","http://openn.library.upenn.edu/Data//lcp_ms8/data/web/6000_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/lcp_ms8.html">http://openn.library.upenn.edu/Data//html/lcp_ms8.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//lcp_ms8/data/">http://openn.library.upenn.edu/Data//lcp_ms8/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lcp_ms8/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lcp_ms8/index.html#page/1/mode/2up</a>,"","This compact, early-fourteenth-century Psalter was produced in Northeastern France. It contains historiated initials at Psalms 1, 26, 38 (lacking, originally between folios 43 and 44), 52, 68, 80, 97, and 109, but also includes an additional historiated initial for Psalm 51. The Psalter is followed by Canticles, the Litany, and Prayers. This book is among the earliest illuminated manuscripts brought to Philadelphia, as it is recorded in the collection of the Library Company of Philadelphia by 1788, when it was bound by the local binder Caleb Buglass.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lcp_ms8/lcp_ms8.html">http://138.197.87.173/bibliophilly/collation/lcp_ms8/lcp_ms8.html</a>,"Online? Yes",""
"Free Library of Philadelphia","De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons)","Lewis E 1","Latin","Fourth quarter 13th century","1275-1299","Bologna?, Italy","13th century;Italian;Italy;Treatise;Collection of Sermons;Historiated initial;Drawing;Inhabited initial","http://openn.library.upenn.edu/Data/0023/lewis_e_001/data/web/4884_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_001.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_001.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_001/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_001/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_001/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_001/index.html#page/1/mode/2up</a>,"","This late thirteenth-century Italian manuscript brings together several treatises and sermons of Albertano da Brescia, followed by Archipresbyter Leo's history of Alexander the Great and the epistle on India attributed to Prester John. It is written in early Italian rotunda script and illuminated with initials and marginal illustrations in a palette of dark blue, light blue, orange, pink, and cream.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_001/lewis_e_001.html">http://138.197.87.173/bibliophilly/collation/lewis_e_001/lewis_e_001.html</a>,"Online? Yes",""
